,tweet_id,favorites,retweets
110,870804317367881728,34134,6439
111,870726314365509632,120,3
112,870656317836468226,12651,2754
113,870374049280663552,83959,27157
114,870308999962521604,22177,4298
115,870063196459192321,37295,8649
116,869772420881756160,43156,10437
117,869702957897576449,28751,6571
118,869596645499047938,16268,3255
119,869227993411051520,20838,3941
120,868880397819494401,66880,15069
121,868639477480148993,0,2186
122,868622495443632128,27921,6161
123,868552278524837888,10388,2186
124,867900495410671616,24677,4358
125,867774946302451713,34713,7641
126,867421006826221569,16528,2634
127,867072653475098625,0,132
128,867051520902168576,32987,8249
129,866720684873056260,20607,5061
130,866686824827068416,19821,3652
131,866450705531457537,124784,36866
132,866334964761202691,53947,15192
133,866094527597207552,0,8766
134,865718153858494464,26271,5878
135,865359393868664832,27173,5256
136,865006731092295680,28734,8069
137,864873206498414592,33224,9195
138,864279568663928832,15008,3214
139,864197398364647424,31024,9427
140,863907417377173506,21206,4357
141,863553081350529029,15729,4390
142,863471782782697472,0,2619
143,863432100342583297,24483,5561
144,863427515083354112,2327,103
145,863079547188785154,9004,1163
146,863062471531167744,8816,2619
147,862831371563274240,19759,5350
148,862722525377298433,17574,3735
149,862457590147678208,21189,5256
150,862096992088072192,77029,24640
151,861383897657036800,37244,11314
152,861288531465048066,17761,4413
153,861005113778896900,17283,4033
154,860981674716409858,0,2285
155,860924035999428608,0,868
156,860563773140209665,7761,2285
157,860524505164394496,24394,5585
158,860276583193509888,18916,3682
159,860184849394610176,17244,6200
160,860177593139703809,0,32759
161,859924526012018688,19770,4273
162,859851578198683649,15913,3718
163,859607811541651456,19235,1672
164,859196978902773760,93311,32185
165,859074603037188101,35124,14478
166,858860390427611136,0,8651
167,858843525470990336,16109,3697
168,858471635011153920,22314,5162
169,858107933456039936,16318,3100
170,857989990357356544,16732,2756
171,857746408056729600,35564,11308
172,857393404942143489,6144,1744
173,857263160327368704,20763,4836
174,857214891891077121,240,20
175,857062103051644929,0,181
176,857029823797047296,19656,4282
177,856602993587888130,0,11431
178,856543823941562368,16940,3082
179,856526610513747968,12305,2018
180,856330835276025856,0,722
181,856288084350160898,534,17
182,856282028240666624,28746,6735
183,855862651834028034,361,28
184,855860136149123072,5008,1103
185,855857698524602368,12336,2273
186,855851453814013952,47270,18898
187,855818117272018944,27708,5840
188,855459453768019968,31264,8849
189,855245323840757760,0,6436
190,855138241867124737,0,49
191,854732716440526848,23887,6563
192,854482394044301312,30699,7439
193,854365224396361728,19775,5063
194,854120357044912130,33438,8128
195,854010172552949760,16951,3387
196,853760880890318849,30029,6273
197,853639147608842240,36667,11038
198,853299958564483072,16308,3858
199,852936405516943360,0,2190
200,852912242202992640,9495,2000
201,852672615818899456,15704,2333
202,852553447878664193,17259,3816
203,852311364735569921,34872,10767
204,852226086759018497,21076,7430
205,852189679701164033,12067,1717
206,851953902622658560,0,10497
207,851861385021730816,0,23
208,851591660324737024,17093,3771
209,851464819735769094,25630,7709
210,851224888060895234,21814,6242
211,850753642995093505,32884,10163
212,850380195714523136,13807,2856
213,850333567704068097,3605,362
214,850145622816686080,17291,4171
215,850019790995546112,21658,5364
216,849776966551130114,32287,8329
217,849668094696017920,0,5422
218,849412302885593088,16826,3431
219,849336543269576704,12102,2067
220,849051919805034497,44594,9316
221,848690551926992896,26749,4735
222,848324959059550208,26291,5045
223,848213670039564288,8696,818
224,848212111729840128,17370,3378
225,847978865427394560,0,3582
226,847971574464610304,0,471
227,847962785489326080,24958,5640
228,847842811428974592,5850,1485
229,847617282490613760,7453,459
230,847606175596138505,19933,3707
231,847251039262605312,21717,4709
232,847157206088847362,21270,6445
233,847116187444137987,22801,3513
234,846874817362120707,21384,4330
235,846514051647705089,47668,12806
236,846505985330044928,15084,3416
237,846153765933735936,33884,10007
238,846139713627017216,32817,10788
239,846042936437604353,17055,3171
240,845812042753855489,31261,9670
241,845677943972139009,26785,5267
242,845459076796616705,0,14761
243,845397057150107648,8133,2026
244,845306882940190720,24902,5941
245,845098359547420673,0,8484
246,844979544864018432,14546,2855
247,844973813909606400,16152,3545
248,844704788403113984,41409,11431
249,844580511645339650,17604,3467
250,844223788422217728,14572,2418
251,843981021012017153,16123,3221
252,843856843873095681,22891,5132
253,843604394117681152,18070,3026
254,843235543001513987,23011,6718
255,842846295480000512,16252,3946
256,842765311967449089,7221,1417
257,842535590457499648,19363,3865
258,842163532590374912,26239,6436
259,842115215311396866,15022,3336
260,841833993020538882,0,17104
261,841680585030541313,27473,8600
262,841439858740625411,13562,4092
263,841320156043304961,21142,6003
264,841314665196081154,17032,5218
265,841077006473256960,24582,5881
266,840761248237133825,0,1944
267,840728873075638272,0,17953
268,840698636975636481,195,3
269,840696689258311684,13208,1097
270,840632337062862849,9644,1944
271,840370681858686976,17686,5061
272,840268004936019968,20696,6369
273,839990271299457024,14421,2549
274,839549326359670784,29578,8651
275,839290600511926273,0,157
276,839239871831150596,29253,7294
277,838952994649550848,21076,4436
278,838921590096166913,12016,2309
279,838916489579200512,0,37
280,838831947270979586,0,12361
281,838561493054533637,11733,1477
282,838476387338051585,24321,5379
283,838201503651401729,0,11276
284,838150277551247360,1804,361
285,838085839343206401,148,0
286,838083903487373313,18955,3507
287,837820167694528512,36812,8766
288,837482249356513284,4144,490
289,837471256429613056,13793,2573
290,837366284874571778,22741,5908
291,837110210464448512,17249,2685
292,836989968035819520,13699,2562
293,836753516572119041,20737,5150
294,836677758902222849,13581,2473
295,836648853927522308,0,615
296,836397794269200385,0,30752
297,836380477523124226,15849,3284
298,836260088725786625,22884,4776
299,836001077879255040,20618,4836
300,835685285446955009,0,9156
301,835574547218894849,19197,4059
302,835536468978302976,0,1899
303,835309094223372289,0,23531
304,835297930240217089,17646,3336
305,835264098648616962,8372,1899
306,835246439529840640,2240,81
307,835172783151792128,28170,6416
308,835152434251116546,24227,3382
309,834931633769889797,11685,1844
310,834786237630337024,22691,6073
311,834574053763584002,14799,2828
312,834477809192075265,0,11947
313,834458053273591808,10380,1870
314,834209720923721728,22252,5362
315,834167344700198914,16976,4058
316,834089966724603904,10840,2375
317,834086379323871233,14106,2471
318,833863086058651648,14473,2681
319,833826103416520705,16541,3841
320,833732339549220864,0,243
321,833722901757046785,22309,3574
